IndicatorCode,IndicatorLabel,Year,Countries_With_Data,Countries_Missing,Total_Records,Coverage_Pct
AIR_42,AmbientAirPollution_DeathRate_AgeStd_Per100k,2010,3384,0,188,1634.8
AIR_42,AmbientAirPollution_DeathRate_AgeStd_Per100k,2011,3384,0,188,1634.8
AIR_42,AmbientAirPollution_DeathRate_AgeStd_Per100k,2012,3384,0,188,1634.8
AIR_42,AmbientAirPollution_DeathRate_AgeStd_Per100k,2013,3384,0,188,1634.8
AIR_42,AmbientAirPollution_DeathRate_AgeStd_Per100k,2014,3384,0,188,1634.8
AIR_42,AmbientAirPollution_DeathRate_AgeStd_Per100k,2015,3384,0,188,1634.8
AIR_42,AmbientAirPollution_DeathRate_AgeStd_Per100k,2016,3384,0,188,1634.8
AIR_42,AmbientAirPollution_DeathRate_AgeStd_Per100k,2017,3384,0,188,1634.8
AIR_42,AmbientAirPollution_DeathRate_AgeStd_Per100k,2018,3384,0,188,1634.8
AIR_42,AmbientAirPollution_DeathRate_AgeStd_Per100k,2019,3384,0,188,1634.8
AIR_44,AmbientAirPollution_DALYs_AgeStd_Per100k,2012,194,0,194,93.7
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2000,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2001,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2002,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2003,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2004,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2005,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2006,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2007,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2008,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2009,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2010,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2011,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2012,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2013,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2014,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2015,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2016,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2017,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2018,600,0,200,289.9
BP_04,Hypertension_Raised_BP_AgeStd_Pct,2019,600,0,200,289.9
BP_05,Mean_SystolicBP_Crude_mmHg,2000,360,26,193,173.9
BP_05,Mean_SystolicBP_Crude_mmHg,2001,360,26,193,173.9
BP_05,Mean_SystolicBP_Crude_mmHg,2002,360,26,193,173.9
BP_05,Mean_SystolicBP_Crude_mmHg,2003,360,26,193,173.9
BP_05,Mean_SystolicBP_Crude_mmHg,2004,360,26,193,173.9
BP_05,Mean_SystolicBP_Crude_mmHg,2005,360,26,193,173.9
BP_05,Mean_SystolicBP_Crude_mmHg,2006,360,26,193,173.9
BP_05,Mean_SystolicBP_Crude_mmHg,2007,360,26,193,173.9
BP_05,Mean_SystolicBP_Crude_mmHg,2008,360,26,193,173.9
BP_05,Mean_SystolicBP_Crude_mmHg,2009,360,26,193,173.9
BP_06,Mean_SystolicBP_AgeStd_mmHg,2000,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2001,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2002,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2003,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2004,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2005,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2006,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2007,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2008,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2009,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2010,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2011,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2012,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2013,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2014,380,8,194,183.6
BP_06,Mean_SystolicBP_AgeStd_mmHg,2015,380,8,194,183.6
CCO_2,Human_Development_Index_Rank,2012,184,0,184,88.9
CCO_2,Human_Development_Index_Rank,2014,185,0,185,89.4
CCO_3,Gender_Inequality_Index_Rank,2012,148,0,148,71.5
CCO_3,Gender_Inequality_Index_Rank,2014,155,37,192,74.9
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2000,0,56,56,0.0
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2001,0,59,59,0.0
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2002,0,50,50,0.0
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2003,0,44,44,0.0
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2004,0,55,55,0.0
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2005,0,70,70,0.0
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2006,0,66,66,0.0
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2007,0,59,59,0.0
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2008,0,59,59,0.0
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2009,0,45,45,0.0
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2010,0,47,47,0.0
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2011,1,57,58,0.5
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2012,48,0,48,23.2
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2013,47,0,47,22.7
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2014,42,0,42,20.3
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2015,42,0,42,20.3
CHOLERA_0000000001,Cholera_Reported_Cases_Count,2016,36,0,36,17.4
GBD_DALYRTAGE,DALYs_AgeStd_AllCauses_Per100k,2000,688,0,172,332.4
GBD_DALYRTAGE,DALYs_AgeStd_AllCauses_Per100k,2012,688,0,172,332.4
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2000,191,0,191,92.3
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2001,191,0,191,92.3
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2002,192,0,192,92.8
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2003,194,0,194,93.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2004,194,0,194,93.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2005,194,0,194,93.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2006,194,0,194,93.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2007,194,0,194,93.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2008,194,0,194,93.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2009,194,0,194,93.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2010,195,0,195,94.2
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2011,196,0,196,94.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2012,196,0,196,94.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2013,198,0,198,95.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2014,198,0,198,95.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2015,198,0,198,95.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2016,198,0,198,95.7
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2017,199,0,199,96.1
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2018,200,0,200,96.6
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2019,200,0,200,96.6
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2020,200,0,200,96.6
GHED_CHEGDP_SHA2011,Health_Expenditure_Pct_GDP,2021,200,0,200,96.6
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2000,191,0,191,92.3
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2001,191,0,191,92.3
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2002,192,0,192,92.8
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2003,194,0,194,93.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2004,194,0,194,93.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2005,194,0,194,93.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2006,194,0,194,93.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2007,194,0,194,93.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2008,194,0,194,93.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2009,194,0,194,93.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2010,195,0,195,94.2
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2011,196,0,196,94.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2012,196,0,196,94.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2013,198,0,198,95.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2014,198,0,198,95.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2015,198,0,198,95.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2016,198,0,198,95.7
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2017,199,0,199,96.1
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2018,200,0,200,96.6
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2019,200,0,200,96.6
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2020,200,0,200,96.6
GHED_CHE_pc_US_SHA2011,Health_Expenditure_PerCapita_USD,2021,199,0,199,96.1
GHED_GGHE-DCHE_SHA2011,GovtHealth_Expenditure_PctCurrentHealthExp,2000,191,0,191,92.3
GHED_GGHE-DCHE_SHA2011,GovtHealth_Expenditure_PctCurrentHealthExp,2001,191,0,191,92.3
