Code,Title,Dimension,ParentDimension,ParentCode,ParentTitle
ABW,Aruba,COUNTRY,REGION,AMR,Americas
AFG,Afghanistan,COUNTRY,REGION,EMR,Eastern Mediterranean
AGO,Angola,COUNTRY,REGION,AFR,Africa
AIA,Anguilla,COUNTRY,REGION,AMR,Americas
ALB,Albania,COUNTRY,REGION,EUR,Europe
AND,Andorra,COUNTRY,REGION,EUR,Europe
ARE,United Arab Emirates,COUNTRY,REGION,EMR,Eastern Mediterranean
ARG,Argentina,COUNTRY,REGION,AMR,Americas
ARM,Armenia,COUNTRY,REGION,EUR,Europe
ASM,American Samoa,COUNTRY,REGION,WPR,Western Pacific
ATG,Antigua and Barbuda,COUNTRY,REGION,AMR,Americas
AUS,Australia,COUNTRY,REGION,WPR,Western Pacific
AUT,Austria,COUNTRY,REGION,EUR,Europe
AZE,Azerbaijan,COUNTRY,REGION,EUR,Europe
BDI,Burundi,COUNTRY,REGION,AFR,Africa
BEL,Belgium,COUNTRY,REGION,EUR,Europe
BEN,Benin,COUNTRY,REGION,AFR,Africa
BES,"Bonaire, Saint Eustatius and Saba",COUNTRY,REGION,AMR,Americas
BFA,Burkina Faso,COUNTRY,REGION,AFR,Africa
BGD,Bangladesh,COUNTRY,REGION,SEAR,South-East Asia
BGR,Bulgaria,COUNTRY,REGION,EUR,Europe
BHR,Bahrain,COUNTRY,REGION,EMR,Eastern Mediterranean
BHS,Bahamas,COUNTRY,REGION,AMR,Americas
BIH,Bosnia and Herzegovina,COUNTRY,REGION,EUR,Europe
BLR,Belarus,COUNTRY,REGION,EUR,Europe
BLZ,Belize,COUNTRY,REGION,AMR,Americas
BMU,Bermuda,COUNTRY,REGION,AMR,Americas
BOL,Bolivia (Plurinational State of),COUNTRY,REGION,AMR,Americas
BRA,Brazil,COUNTRY,REGION,AMR,Americas
BRB,Barbados,COUNTRY,REGION,AMR,Americas
BRN,Brunei Darussalam,COUNTRY,REGION,WPR,Western Pacific
BTN,Bhutan,COUNTRY,REGION,SEAR,South-East Asia
BWA,Botswana,COUNTRY,REGION,AFR,Africa
CAF,Central African Republic,COUNTRY,REGION,AFR,Africa
CAN,Canada,COUNTRY,REGION,AMR,Americas
CHE,Switzerland,COUNTRY,REGION,EUR,Europe
CHI,Channel islands,COUNTRY,,,
CHL,Chile,COUNTRY,REGION,AMR,Americas
CHN,China,COUNTRY,REGION,WPR,Western Pacific
CIV,Cote d'Ivoire,COUNTRY,REGION,AFR,Africa
CMR,Cameroon,COUNTRY,REGION,AFR,Africa
COD,Democratic Republic of the Congo,COUNTRY,REGION,AFR,Africa
COG,Congo,COUNTRY,REGION,AFR,Africa
COK,Cook Islands,COUNTRY,REGION,WPR,Western Pacific
COL,Colombia,COUNTRY,REGION,AMR,Americas
COM,Comoros,COUNTRY,REGION,AFR,Africa
CPV,Cabo Verde,COUNTRY,REGION,AFR,Africa
CRI,Costa Rica,COUNTRY,REGION,AMR,Americas
CUB,Cuba,COUNTRY,REGION,AMR,Americas
CUW,Curaçao,COUNTRY,REGION,AMR,Americas
CYM,Cayman Islands,COUNTRY,REGION,AMR,Americas
CYP,Cyprus,COUNTRY,REGION,EUR,Europe
CZE,Czechia,COUNTRY,REGION,EUR,Europe
DEU,Germany,COUNTRY,REGION,EUR,Europe
DJI,Djibouti,COUNTRY,REGION,EMR,Eastern Mediterranean
DMA,Dominica,COUNTRY,REGION,AMR,Americas
DNK,Denmark,COUNTRY,REGION,EUR,Europe
DOM,Dominican Republic,COUNTRY,REGION,AMR,Americas
DZA,Algeria,COUNTRY,REGION,AFR,Africa
ECU,Ecuador,COUNTRY,REGION,AMR,Americas
EGY,Egypt,COUNTRY,REGION,EMR,Eastern Mediterranean
ERI,Eritrea,COUNTRY,REGION,AFR,Africa
ESP,Spain,COUNTRY,REGION,EUR,Europe
EST,Estonia,COUNTRY,REGION,EUR,Europe
ETH,Ethiopia,COUNTRY,REGION,AFR,Africa
FIN,Finland,COUNTRY,REGION,EUR,Europe
FJI,Fiji,COUNTRY,REGION,WPR,Western Pacific
FLK,Falkland Islands (Malvinas),COUNTRY,REGION,AMR,Americas
FRA,France,COUNTRY,REGION,EUR,Europe
FRO,Faroe Islands,COUNTRY,REGION,EUR,Europe
FSM,Micronesia (Federated States of),COUNTRY,REGION,WPR,Western Pacific
GAB,Gabon,COUNTRY,REGION,AFR,Africa
GBR,United Kingdom of Great Britain and Northern Ireland,COUNTRY,REGION,EUR,Europe
GEO,Georgia,COUNTRY,REGION,EUR,Europe
GHA,Ghana,COUNTRY,REGION,AFR,Africa
GIB,Gibraltar,COUNTRY,REGION,EUR,Europe
GIN,Guinea,COUNTRY,REGION,AFR,Africa
GLP,Guadeloupe,COUNTRY,REGION,AMR,Americas
GMB,Gambia,COUNTRY,REGION,AFR,Africa
GNB,Guinea-Bissau,COUNTRY,REGION,AFR,Africa
GNQ,Equatorial Guinea,COUNTRY,REGION,AFR,Africa
GRC,Greece,COUNTRY,REGION,EUR,Europe
GRD,Grenada,COUNTRY,REGION,AMR,Americas
GRL,Greenland,COUNTRY,REGION,EUR,Europe
GTM,Guatemala,COUNTRY,REGION,AMR,Americas
GUF,French Guiana,COUNTRY,REGION,AMR,Americas
GUM,Guam,COUNTRY,REGION,WPR,Western Pacific
GUY,Guyana,COUNTRY,REGION,AMR,Americas
HKG,"China, Hong Kong Special Administrative Region",COUNTRY,,,
HND,Honduras,COUNTRY,REGION,AMR,Americas
HRV,Croatia,COUNTRY,REGION,EUR,Europe
HTI,Haiti,COUNTRY,REGION,AMR,Americas
HUN,Hungary,COUNTRY,REGION,EUR,Europe
IDN,Indonesia,COUNTRY,REGION,WPR,Western Pacific
IMN,Isle of Man,COUNTRY,REGION,EUR,Europe
IND,India,COUNTRY,REGION,SEAR,South-East Asia
IRL,Ireland,COUNTRY,REGION,EUR,Europe
IRN,Iran (Islamic Republic of),COUNTRY,REGION,EMR,Eastern Mediterranean
IRQ,Iraq,COUNTRY,REGION,EMR,Eastern Mediterranean
ISL,Iceland,COUNTRY,REGION,EUR,Europe
ISR,Israel,COUNTRY,REGION,EUR,Europe
ITA,Italy,COUNTRY,REGION,EUR,Europe
JAM,Jamaica,COUNTRY,REGION,AMR,Americas
JOR,Jordan,COUNTRY,REGION,EMR,Eastern Mediterranean
JPN,Japan,COUNTRY,REGION,WPR,Western Pacific
KAZ,Kazakhstan,COUNTRY,REGION,EUR,Europe
KEN,Kenya,COUNTRY,REGION,AFR,Africa
KGZ,Kyrgyzstan,COUNTRY,REGION,EUR,Europe
KHM,Cambodia,COUNTRY,REGION,WPR,Western Pacific
KIR,Kiribati,COUNTRY,REGION,WPR,Western Pacific
KNA,Saint Kitts and Nevis,COUNTRY,REGION,AMR,Americas
KOR,Republic of Korea,COUNTRY,REGION,WPR,Western Pacific
KWT,Kuwait,COUNTRY,REGION,EMR,Eastern Mediterranean
LAO,Lao People's Democratic Republic,COUNTRY,REGION,WPR,Western Pacific
LBN,Lebanon,COUNTRY,REGION,EMR,Eastern Mediterranean
LBR,Liberia,COUNTRY,REGION,AFR,Africa
LBY,Libya,COUNTRY,REGION,EMR,Eastern Mediterranean
LCA,Saint Lucia,COUNTRY,REGION,AMR,Americas
LIE,Liechtenstein,COUNTRY,REGION,EUR,Europe
LKA,Sri Lanka,COUNTRY,REGION,SEAR,South-East Asia
LSO,Lesotho,COUNTRY,REGION,AFR,Africa
LTU,Lithuania,COUNTRY,REGION,EUR,Europe
LUX,Luxembourg,COUNTRY,REGION,EUR,Europe
LVA,Latvia,COUNTRY,REGION,EUR,Europe
MAC,"China, Macao Special Administrative Region",COUNTRY,,,
MAR,Morocco,COUNTRY,REGION,EMR,Eastern Mediterranean
MCO,Monaco,COUNTRY,REGION,EUR,Europe
MDA,Republic of Moldova,COUNTRY,REGION,EUR,Europe
MDG,Madagascar,COUNTRY,REGION,AFR,Africa
MDV,Maldives,COUNTRY,REGION,SEAR,South-East Asia
ME1,The former state union Serbia and Montenegro,COUNTRY,,,
MEX,Mexico,COUNTRY,REGION,AMR,Americas
MHL,Marshall Islands,COUNTRY,REGION,WPR,Western Pacific
MKD,North Macedonia,COUNTRY,REGION,EUR,Europe
MLI,Mali,COUNTRY,REGION,AFR,Africa
MLT,Malta,COUNTRY,REGION,EUR,Europe
MMR,Myanmar,COUNTRY,REGION,SEAR,South-East Asia
MNE,Montenegro,COUNTRY,REGION,EUR,Europe
MNG,Mongolia,COUNTRY,REGION,WPR,Western Pacific
MNP,Northern Mariana Islands,COUNTRY,REGION,WPR,Western Pacific
MOZ,Mozambique,COUNTRY,REGION,AFR,Africa
MRT,Mauritania,COUNTRY,REGION,AFR,Africa
MSR,Montserrat,COUNTRY,REGION,AMR,Americas
MTQ,Martinique,COUNTRY,REGION,AMR,Americas
MUS,Mauritius,COUNTRY,REGION,AFR,Africa
MWI,Malawi,COUNTRY,REGION,AFR,Africa
MYS,Malaysia,COUNTRY,REGION,WPR,Western Pacific
MYT,Mayotte,COUNTRY,REGION,AFR,Africa
NAM,Namibia,COUNTRY,REGION,AFR,Africa
NCL,New Caledonia,COUNTRY,REGION,WPR,Western Pacific
NER,Niger,COUNTRY,REGION,AFR,Africa
NGA,Nigeria,COUNTRY,REGION,AFR,Africa
