Country,Year,Region,Income_Group,Life_Expectancy,HALE,NCD_Mortality_Rate,NCD_PrematureDeaths_Pct,NCD_Prob_Dying_30to70,Obesity_Pct,Mean_BMI,Diabetes_Pct,Hypertension_Pct,Physical_Inactivity_Pct,Tobacco_Smoking_Pct,Alcohol_PerCapita,Health_Expenditure_PerCapita,Health_Expenditure_PctGDP,UHC_Index,OOP_Expenditure_Pct,NCD_RiskFactor_Count
AFG,2010,Eastern Mediterranean,Low,59.00377167,50.47166603,982.292236328,65.698120117,37.6,8.9501388,22.7,16.365888499999997,38.2,26.389519,14.4,0.024892159,46.42438889,8.56967163,38.0,78.9966507,2.0
AFG,2011,Eastern Mediterranean,Low,59.54863714,50.93310189,973.366699219,65.888366699,37.2,9.5871173,22.8,16.8374235,38.4,26.887529,,0.027563104,52.18721771,8.56190777,36.0,73.25517273,3.0
AFG,2012,Eastern Mediterranean,Low,59.92210578,51.25516665,956.131225586,65.324020386,36.5,10.262612,22.9,17.326302000000002,38.6,27.400879,,0.028278207,52.45247269,7.89716864,37.0,74.48620605,3.0
AFG,2013,Eastern Mediterranean,Low,60.43497705,51.69269492,944.337219238,65.456695557,36.0,10.982534,23.0,17.844427,38.8,27.937994,,0.026020036,56.16043472,8.80596447,38.0,72.04785919,3.0
AFG,2014,Eastern Mediterranean,Low,60.42859204,51.69511692,928.481140137,64.498550415,35.4,11.748241,23.2,18.395531,39.0,28.491848,,0.022397389,60.04951096,9.52887821,38.0,73.05592346,3.0
AFG,2015,Eastern Mediterranean,Low,60.32951348,51.61706961,917.511535645,63.90555954,35.0,12.56313,23.3,18.984394,39.2,29.068188,11.9,0.019201694,59.91960526,10.10534763,38.0,78.3822937,3.0
AFG,2016,Eastern Mediterranean,Low,60.39366208,51.65871621,916.821899414,64.007644653,34.9,13.425334,23.4,19.610487,39.5,29.664152,,0.016418643,61.37234497,11.81859016,39.0,75.97433472,3.0
AFG,2017,Eastern Mediterranean,Low,60.8752198,52.04833652,919.190185547,63.75138092,35.0,14.325637,,20.267516999999998,39.7,30.270641,,0.014426353,66.82388306,12.62081718,40.0,75.48258209,3.0
AFG,2018,Eastern Mediterranean,Low,60.48797975,51.72087439,911.75213623,63.461528778,34.6,15.25583,,20.9560125,39.9,30.885082,,0.013377383,71.22509003,14.20841885,42.0,76.22302246,3.0
AFG,2019,Eastern Mediterranean,Low,61.22381311,52.30937005,910.943054199,63.768714905,34.4,16.21054,,21.679301000000002,40.2,31.4998,,0.011442092,74.0642395,14.83131981,42.0,76.818367,3.0
AGO,2010,Africa,Lower-Middle,57.96461105,50.36859207,673.356140137,66.977645874,24.8,8.0547146,22.8,14.506075,39.3,19.48488,,8.436001413,96.95197296,2.36373854,38.0,19.34375572,2.0
AGO,2011,Africa,Lower-Middle,58.75334146,51.05446448,672.086181641,66.620574951,24.7,8.2899854,22.9,14.754041,39.3,19.218645,,8.655232039,122.11888123,2.35561895,39.0,17.99380875,2.0
